# Factor    ecutrho(Ry)    Pressure(kbar)    Energy(Ry)    Time(s)
2    180    256.60    -3111.68338662    192
3    270    -155.62    -3111.36279881    196
4    360    -148.14    -3111.34795401    235
5    450    -153.56    -3111.34745258    240
6    540    -151.67    -3111.34645521    246
7    630    -153.15    -3111.34574714    250
8    720    -152.78    -3111.34597293    254
9    810    -152.74    -3111.34569219    259
10    900    -152.99    -3111.34563764    259
