# Volume(Ang^3)  Energy(Ry)
     87.684600     -447.7401611700
    124.847800     -448.4284084900
    146.833200     -448.5500433000
    156.303500     -448.5728352800
    166.172500     -448.5843955900
    171.259000     -448.5865860200
    176.448400     -448.5866876800
    187.139400     -448.5813047200
    198.253700     -448.5694705100
    227.945800     -448.5188474500
    295.935600     -448.3693827300
