# k-mesh    Pressure(kbar)    Energy(Ry)    Time(s)
2x2x2    -161.03    -3111.26478047    82
3x3x3    -164.95    -3111.29718821    82
4x4x4    -163.99    -3111.29213320    134
5x5x5    -164.46    -3111.29334235    163
6x6x6    -164.72    -3111.29383746    274
7x7x7    -164.74    -3111.29402275    269
8x8x8    -164.69    -3111.29409203    507
9x9x9    -164.58    -3111.29402234    612
